id,score,total_reviews,total_positive,total_negative
629760,8,58849,47987,10862
427520,9,108704,106803,1901
1551360,8,82456,73015,9441
582660,6,34709,25251,9458
1716740,5,82014,47426,34588
264710,9,165944,160664,5280
231430,8,27723,23458,4265
1145350,9,36879,35751,1128
2215430,8,29713,27851,1862
230410,8,1140,1004,136
10,9,33362,32225,1137
1366540,9,23279,22463,816
1293830,8,52868,47220,5648
1506830,8,33452,27056,6396
1222670,8,45181,39781,5400
1145360,9,132287,130375,1912
1203220,8,12892,10552,2340
250900,9,130819,127169,3650
252950,8,225467,195832,29635
526870,9,120555,117591,2964
1149460,6,23101,17480,5621
1222680,8,46332,39271,7061
1328670,8,36806,33617,3189
578080,5,277815,175831,101984
239140,8,91580,86305,5275
1217060,9,35242,33931,1311
550,9,216261,210955,5306
2670630,8,29334,27668,1666
632360,8,148644,140968,7676
892970,8,246339,233788,12551
1196590,8,39925,37926,1999
678960,8,18083,15758,2325
374320,8,102443,96329,6114
552500,8,41963,37700,4263
1282100,8,25147,21568,3579
346110,8,249244,201289,47955
201270,8,20551,19000,1551
108600,8,132383,124744,7639
1501750,6,17368,12712,4656
570,8,6091,5417,674
601150,9,35437,33877,1560
2321470,8,19004,16717,2287
1128000,4,4714,1851,2863
280640,4,40,11,29
848450,8,51609,46340,5269
440900,6,36604,29133,7471
1313860,6,12830,9712,3118
552520,8,65835,52859,12976
242760,9,171375,163361,8014
252490,8,498206,433215,64991
1222730,5,18569,12786,5783
779340,8,16614,14027,2587
2344520,6,14348,10565,3783
755790,6,233,167,66
548430,9,162475,159089,3386
1607250,5,19,10,9
2399830,5,45433,26700,18733
960090,9,212472,206838,5634
2050650,9,51418,49916,1502
1483870,6,319,241,78
1816670,0,0,0,0
648800,8,123427,115788,7639
1919590,5,16910,11645,5265
703080,8,39609,36168,3441
1250410,6,41621,32590,9031
1973530,0,0,0,0
812140,8,55325,49516,5809
1623660,0,0,0,0
692850,8,10713,9995,718
244850,8,65932,59259,6673
1184370,8,16898,13895,3003
671860,8,77518,64517,13001
2881650,8,29970,28199,1771
3070070,9,28284,27521,763
394360,8,112984,103588,9396
1794680,9,122044,120323,1721
359550,8,617549,516344,101205
1818750,6,5315,3761,1554
105600,9,564596,551624,12972
1966720,9,268612,261911,6701
2322560,8,1482,1384,98
1790600,8,27185,23965,3220
1363080,8,33164,29281,3883
594570,8,50380,47083,3297
1172620,8,140770,125920,14850
1325200,8,9812,8956,856
920210,8,25601,23028,2573
1845910,5,27525,18875,8650
1151640,8,50968,45676,5292
841370,5,3322,1661,1661
218620,8,170849,150233,20616
1593500,9,54322,52504,1818
606880,6,10152,7773,2379
1174180,8,260012,237981,22031
2679460,8,11767,11003,764
1158310,8,44942,40893,4049
1282730,8,15475,14145,1330
1938090,5,225024,129868,95156
1286830,8,350,310,40
2507950,0,0,0,0
492720,8,9374,8149,1225
1337520,8,16420,15542,878
251570,8,120260,102793,17467
1623730,9,141166,134526,6640
2767030,0,0,0,0
1030840,8,25730,22297,3433
700600,5,7318,4974,2344
444090,6,3293,2564,729
858810,8,9563,8210,1353
899770,8,56800,48040,8760
292030,9,226051,218841,7210
2567870,8,18267,16731,1536
1832640,5,2442,1152,1290
2479810,6,39148,27670,11478
221380,9,36311,34556,1755
858820,6,6637,4950,1687
2429640,6,5995,4291,1704
997070,5,12539,8468,4071
838350,6,692,523,169
945360,8,363262,335101,28161
813780,8,56405,53570,2835
294100,9,109729,107521,2208
730,8,1354371,1163787,190584
594650,6,90240,68875,21365
1085660,6,75966,60436,15530
2183900,8,78285,67294,10991
291550,8,1574,1307,267
255710,8,96731,90005,6726
1384160,8,30582,28192,2390
220,9,82937,80753,2184
8930,9,76770,73296,3474
397540,8,58155,47235,10920
1928420,0,0,0,0
271590,8,568640,476505,92135
1254120,6,74,59,15
1517290,5,104486,48454,56032
532210,8,8751,7192,1559
677620,8,158,148,10
2073850,0,8,6,2
952060,8,24000,19632,4368
646910,6,25757,19862,5895
546560,9,58585,57530,1055
304390,5,52807,36961,15846
2669320,5,27166,13909,13257
903950,6,10929,7666,3263
1272080,5,30056,13052,17004
1366800,8,18095,17014,1081
381210,8,233420,187205,46215
322330,9,78523,75124,3399
1066780,8,9427,8455,972
1213210,8,17041,15667,1374
1238810,6,33223,23534,9689
2252570,8,6282,5788,494
1260320,8,15890,14233,1657
2420510,0,0,0,0
304930,8,2868,2587,281
740130,8,10736,9483,1253
1426210,9,42218,40507,1711
444200,6,221,155,66
2074920,0,0,0,0
39210,8,58353,50798,7555
924970,6,24426,17544,6882
814380,8,81293,76283,5010
1332010,9,73903,71969,1934
289070,8,102557,86876,15681
739630,9,335449,322699,12750
1364780,8,17967,15557,2410
236850,8,46661,40694,5967
1063730,5,141377,96608,44769
2195250,5,31934,18364,13570
386360,6,756,589,167
1238840,8,40815,35192,5623
1361210,6,66672,49421,17251
2054970,5,42061,28239,13822
597820,6,8161,5785,2376
1811260,5,35660,21660,14000
1643320,6,38067,29450,8617
1454400,9,47854,46240,1614
644930,8,18354,14703,3651
1057090,9,29543,28612,931
2357570,5,119,52,67
2139460,7,19,19,0
1089350,5,10235,6283,3952
377160,8,167859,140191,27668
617290,8,23501,20388,3113
1568590,0,0,0,0
2016590,5,32,18,14
438100,8,110,92,18
219990,9,37302,35480,1822
431960,9,211802,207921,3881
976730,8,153858,141843,12015
2694490,6,80420,59846,20574
834910,5,19834,9332,10502
782330,8,117050,106813,10237
236390,5,792,546,246
489830,8,118093,111885,6208
453480,6,180,142,38
289130,8,9126,7806,1320
211820,8,51511,45799,5712
1599340,5,38963,27210,11753
534380,6,65144,51010,14134
1868140,9,44620,43220,1400
238960,8,546,502,44
49520,8,120831,108946,11885
1151340,6,39745,30481,9264
1313140,9,51645,49705,1940
2933620,5,8423,3472,4951
1240440,5,27450,18640,8810
582010,8,110951,102413,8538
1449850,0,0,0,0
1446780,8,32111,27811,4300
553850,8,584052,488491,95561
881020,8,10618,9790,828
1056640,5,18,12,6
990080,8,130471,119521,10950
1248130,8,24147,22350,1797
