id,main_story,completionist
346110,67.56,507.37
2881650,2.23,19.73
2933620,8.47,35.21
1818750,5.98,88.55
787860,113.38,240.38
532210,16.08,20.06
2507950,5.87,0.0
271590,13.65,16.27
729040,20.6,76.02
1604030,47.98,92.45
322330,34.88,213.71
779340,46.53,672.95
671860,21.0,0.0
1794680,14.76,51.98
2694490,34.53,140.25
242760,15.84,58.56
359550,3.32,126.02
1466860,27.8,167.99
1888160,17.67,50.26
1454400,154.09,825.94
1128000,7.57,40.7
594650,55.53,577.6
730,123.84,762.75
1158310,73.02,585.79
381210,78.64,735.08
952060,6.04,20.51
2054970,30.89,93.62
553850,32.61,86.4
440,302.23,2616.46
2252570,108.58,453.07
782330,14.46,28.79
1568590,2.84,16.5
1790600,10.62,43.41
1623730,39.56,88.0
2139460,30.0,177.38
1174180,50.6,189.38
2195250,32.94,145.33
617290,13.28,58.9
8930,39.88,435.5
1599340,48.21,706.21
292030,51.56,174.57
1238810,6.22,36.18
2767030,16.51,90.9
218620,27.06,532.56
201270,27.18,216.15
261550,47.3,149.67
1222670,22.14,288.03
221100,50.77,133.78
814380,30.15,69.94
552500,10.86,134.94
1085660,12.24,191.58
1282100,18.11,81.42
1049590,11.0,0.0
1868140,24.99,49.33
49520,30.15,130.57
397540,23.4,81.85
899770,22.17,84.26
105600,51.96,203.44
570,772.09,2359.42
1240440,11.33,29.35
920210,18.6,89.57
1326470,15.36,49.15
427520,50.05,219.33
1418630,13.0,34.3
601150,11.14,75.53
230410,113.63,1495.08
477160,6.34,24.92
2050650,16.16,64.27
1643320,36.61,134.92
1172470,31.55,145.56
1248130,176.95,296.25
755790,10.0,0.0
281990,31.73,339.1
238960,29.58,790.88
275850,31.44,155.84
1142710,34.03,384.53
3097560,2.79,3.5
1151640,29.28,75.75
812140,45.54,145.46
2074920,36.55,104.29
739630,20.04,127.84
594570,41.56,705.03
1250410,25.61,1372.25
1363080,10.59,23.21
945360,8.03,28.45
431960,,
424370,17.29,54.98
1097150,9.57,93.45
1196590,9.86,38.66
1966720,9.1,33.24
236390,474.83,4627.7
252490,28.45,127.04
949230,29.4,102.51
678960,26.36,62.75
578080,102.11,547.46
1254120,280.0,0.0
529340,48.65,821.49
1938090,6.87,9.91
39210,0.0,0.0
2429640,59.76,136.41
740130,40.99,73.78
629760,2.0,229.96
304930,20.75,135.68
250900,5.63,368.25
1089350,50.39,301.77
4000,52.7,575.64
2073850,7.71,295.73
990080,26.69,71.21
1222680,13.87,50.7
2300320,0.0,790.91
289070,23.78,362.93
677620,14.42,0.0
859580,15.68,695.42
252950,4.6,102.83
1203620,46.38,80.03
2183900,9.63,68.32
550,10.26,60.44
892970,80.75,144.4
2399830,350.56,750.15
1811260,90.27,189.22
1086940,72.02,173.84
413150,53.42,167.88
1172620,41.3,724.82
1517290,46.21,159.2
903950,0.0,0.0
1361210,29.12,190.46
1203220,21.67,118.45
1063730,28.67,0.0
1260320,5.1,107.42
394360,51.37,1070.74
377160,27.57,160.16
1449850,41.47,98.81
1716740,23.55,148.17
2358720,38.27,67.08
680420,16.37,63.52
227300,48.05,427.0
1145350,19.48,65.24
883710,8.78,36.63
582010,46.44,428.27
692850,14.05,35.65
834910,18.0,0.0
1245620,59.86,135.05
203160,11.33,20.87
648800,25.59,67.26
1623660,0.0,0.0
2669320,42.62,384.24
526870,104.54,227.78
632360,10.77,145.45
251570,52.37,331.26
1091500,25.9,107.35
1506830,61.9,147.94
306130,47.94,527.03
534380,24.28,100.18
881020,15.48,128.87
976310,6.29,61.84
1046930,63.01,278.79
1468810,72.0,0.0
1551360,20.89,134.31
976730,43.07,307.94
1282730,28.51,55.22
1920960,0.0,1293.25
1446780,23.11,182.06
924970,11.9,98.33
