id,peak,average
534380,274983,36268.72727272727
1449850,262333,92339.75
1085660,289895,143547.41666666666
1938090,488897,353535.0
1245620,952523,254988.72727272726
1599340,1324761,572915.0909090909
1172470,510286,391857.0833333333
730,1129095,1013358.5
1568590,414978,48285.75
346110,247292,101594.66666666667
570,1038848,794163.0
578080,696704,488464.0833333333
1142710,166519,52644.90909090909
1203220,166259,145351.08333333334
271590,197328,164006.0
440,147868,118729.66666666667
1063730,137755,57244.916666666664
252490,165120,140499.08333333334
1091500,136724,48579.166666666664
431960,144578,102506.91666666667
1446780,230942,88760.83333333333
1818750,153044,54945.0
1604030,150645,42140.75
238960,158140,70067.66666666667
1222680,85230,15437.0
359550,108630,71014.41666666667
381210,96390,61432.75
550,84991,38470.0
1222670,96185,36236.833333333336
892970,127172,45336.833333333336
230410,91910,70243.66666666667
304930,92850,60465.333333333336
1811260,98981,78426.0
1361210,107450,96703.0
242760,74816,41381.083333333336
648800,100474,32514.166666666668
1418630,107820,48166.5
552500,104134,15598.833333333334
920210,82446,13617.666666666666
236390,88331,69189.0
292030,89259,40268.333333333336
1794680,77061,39506.666666666664
1506830,108168,71057.75
289070,89986,65117.25
105600,115029,59019.75
4000,45812,42421.083333333336
394360,70836,52021.0
739630,54717,30485.583333333332
1623660,71226,51757.75
438100,42564,35813.583333333336
1816670,55437,19895.0
1296830,44545,11320.416666666666
221100,58240,51577.916666666664
1097150,59554,21808.833333333332
444200,49555,34236.833333333336
1174180,66113,39989.166666666664
261550,58611,32123.666666666668
1644960,46628,28652.166666666668
632360,70761,19054.916666666668
1817070,66093,21728.8
529340,69663,44821.0
1238840,53107,16907.583333333332
1248130,61967,39687.166666666664
1332010,51455,12815.0
218620,72662,55699.666666666664
294100,60742,32030.25
1832640,33035,6229.5
868270,40690,13917.42857142857
227300,56796,45693.25
39210,65565,42781.333333333336
1190340,47189,34311.333333333336
548430,46392,23752.916666666668
1593500,73529,15423.25
1240440,62371,16636.0
489830,42340,33636.75
1549250,45866,33224.333333333336
1677740,43705,24255.416666666668
413150,54288,43604.75
1158310,63144,27065.0
281990,51971,25914.5
108600,65379,34806.083333333336
275850,40753,21533.0
838350,64066,9823.083333333334
1313140,56262,17138.8
251570,70001,41996.416666666664
440900,42604,17457.333333333332
1238810,59133,29614.0
322330,59827,44477.75
