id,peak,average
261550,248034,68350.1
1091500,830387,830387.0
945360,438524,117985.33333333333
1085660,241843,127277.16666666667
582010,284090,129305.5
578080,913075,534001.25
570,801121,711161.8333333334
730,1305714,1024595.8333333334
271590,267360,194601.08333333334
105600,486918,94346.41666666667
532210,468634,39814.25
782330,84865,16209.2
292030,103329,47448.916666666664
440,146887,95495.0
477160,127516,29714.416666666668
739630,112241,69998.5
252950,146902,102346.5
252490,125415,96280.16666666667
1097150,172026,91585.2
238960,132508,72669.08333333333
230410,154246,81862.83333333333
346110,157355,99247.33333333333
424370,127542,16740.916666666668
359550,198567,145693.41666666666
1172470,117193,114634.5
1250410,61775,21791.8
1049590,52288,33856.0
1158310,98474,47684.25
227300,60883,42895.916666666664
218620,61728,47909.25
4000,61933,46309.5
201270,117,17.333333333333332
976730,54416,24904.75
632360,71033,22859.666666666668
1151640,49582,16292.2
236390,55865,36878.833333333336
1172620,66632,38231.28571428572
550,100965,34980.666666666664
203160,89494,12572.166666666666
381210,77347,61405.833333333336
289070,76439,59460.25
594570,84254,44856.583333333336
281990,64120,26241.083333333332
8930,51448,33384.0
397540,93597,29769.1
952060,32635,5170.222222222223
1174180,51030,31036.5
1086940,48418,23486.333333333332
286160,36793,17404.083333333332
489830,30978,26673.25
